'2021-01-24', '5.1.4', '8x0:15/0:30r-2:00r-8x0:30/0:15r', 'Hybrid', 'Hybrid', 'BikeErg', '4.0km', '0:06:40', '0:07:30', '166'
'2021-01-25', '5.2.1', 'Bike 36:00 @ 6, 12, 18, 24, 30 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '18.2km', '0:36:00', '0:00:00', '508'
'2021-01-26', '5.2.3', 'Erg 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.9km', '0:45:00', '0:00:00', '705'
'2021-01-27', '5.2.2', '6x0:30/1:00r-1:00r-10x0:45/15r', 'Hybrid', 'Hybrid', 'Rower', '3.0km', '0:10:30', '0:08:30', '233'
'2021-01-28', '5.2.4', '??x0:45/0:45r - row/bike 13+1', 'Hybrid', 'Ascending', 'Rower', '2.5km', '0:08:15', '0:08:15', '206'
'2021-01-29', '5.3.5', 'Erg 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.8km', '0:45:04', '0:00:00', '700'
'2021-02-01', '5.2.5', '8x0:15/0:15r-2:00r-8x1:15/0:45r', 'Hybrid', 'Hybrid', 'Rower', '3.6km', '0:12:40', '0:09:45', '270'
'2021-02-02', '5.3.3', 'Bike 39:00 @ 7,14,21,28,35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '19.9km', '0:39:00', '0:00:00', '563'
'2021-02-03', '5.3.1', '6x0:30/0:45r-1:00r-10x0:30/0:15r', 'Hybrid', 'Hybrid', 'Rower', '2.3km', '0:08:00', '0:07:15', '173'
'2021-02-05', '5.3.2', '10x2:00/0:30r', 'Hybrid', 'Intervals', 'Rower', '5.3km', '0:20:00', '0:05:00', '374'
'2021-02-06', '5.4.3', 'Erg 30:00', 'Hybrid', 'Endurance', 'AirDyne', '25.3km', '0:30:00', '0:00:00', '420'
'2021-02-08', '5.3.4', '8x0:30/0:30r-2:00r-8x1:00/0:15r', 'Hybrid', 'Hybrid', 'AirDyne', '15.7km', '0:12:00', '0:08:00', '260'
'2021-02-09', '5.4.1', 'Bike 42:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '21.3km', '0:42:00', '0:00:00', '596'
'2021-02-10', '5.4.2', '6x0:30/1:00r-1:00r-10x0:45/0:45r', 'Hybrid', 'Hybrid', 'Rower', '3.1km', '0:10:30', '0:13:30', '249'
'2021-02-13', '5.4.4', '??x0:30/0:30r - 100+5m', 'Hybrid', 'Ascending', 'Rower', '2.3km', '0:08:00', '0:08:00', '174'
'2021-02-15', '5.4.5', '8x0:20/0:30r-2:00r-8x0:45/0:30r', 'Hybrid', 'Hybrid', 'Rower', '2.5km', '0:08:40', '0:09:30', '201'
'2021-02-17', '6.1.5', 'Erg 45:00', 'Hybrid', 'Endurance', 'AirDyne', '22.6km', '0:45:00', '0:00:00', '624'
'2021-02-19', '6.1.1', '10x0:30/1:00r-3:00r-6x1:30/0:30r', 'Hybrid', 'Hybrid', 'Rower', '4.0km', '0:14:00', '0:15:00', '317'
'2021-02-20', '6.1.2', '3x7:00/1:00r', 'Hybrid', 'Intervals', 'BikeErg', '11.0km', '0:21:00', '0:03:00', '385'
